cd,nm,corp_name,stock_code,industry,main_product,listed_date,settle_month,hpage,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,증권구분,주식종류,액면가,상장주식수,yh_code,stock_code_ori
A010950,S-Oil,S-Oil,010955,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,http://www.s-oil.com,KR7010951002,010955,S-Oil1우선주,S-Oil우,S-Oil(1P),1992-05-28,주권,구형우선주,2500,4021927,010955.KS,010950
A950110,SBI핀테크솔루션즈,SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스,2012-12-17,03월,http://https://www.sbi-finsol.co.jp/kr/,KR8392070007,950110,SBI핀테크솔루션즈,SBI핀테크솔루션즈,"SBI FinTech Solutions Co., Ltd.",2012-12-17,주식예탁증권,보통주,무액면,24052540,950110.KQ,950110
A005090,SGC에너지,SGC에너지,005090,전기업,"증기, 전기, REC(신재생에너지공급인증서)",1993-01-06,12월,http://www.sgcenergy.co.kr,KR7005090006,005090,SGC에너지보통주,SGC에너지,SGC Energy,1993-01-06,주권,보통주,5000,14677004,005090.KS,005090
A001380,SG글로벌,SG글로벌,001380,자동차 신품 부품 제조업,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",1976-06-29,12월,http://www.sgglobal.co.kr,KR7001380005,001380,SG글로벌보통주,SG글로벌,SG GLOBAL,1976-06-29,주권,보통주,500,44964143,001380.KS,001380
A001770,SHD,SHD,001770,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,12월,http://www.shinhwatp.com,KR7001770007,001770,SHD보통주,SHD,SHIN HWA DYNAMICS,1988-11-23,주권,보통주,5000,1214878,001770.KS,001770
A002360,SH에너지화학,SH에너지화학,002360,기초 화학물질 제조업,"합성수지(PS/EPS,ABS수지) 제조",1985-12-23,12월,http://www.sh-enerchem.com,KR7002360006,002360,SH에너지화학보통주,SH에너지화학,SH ENERGY & CHEMICAL,1985-12-23,주권,보통주,500,111133730,002360.KS,002360
A009160,SIMPAC,SIMPAC,009160,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,http://www.simpac.co.kr,KR7009160003,009160,SIMPAC보통주,SIMPAC,SIMPACInc,1989-07-29,주권,보통주,500,65429516,009160.KS,009160
A034730,SK,SK,034730,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,12월,http://www.sk-inc.com/,KR7034730002,034730,SK보통주,SK,SK,2009-11-11,주권,보통주,200,74149329,034730.KS,034730
A034730,SK,SK,03473K,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,12월,http://www.sk-inc.com/,KR703473K016,03473K,SK1우선주,SK우,SK(1P),2015-08-17,주권,종류주권,200,566135,03473K.KS,034730
A011790,SKC,SKC,011790,기타 화학제품 제조업,"폴리에스테르필름,합성수지,LCD용 필름 제조",1997-07-18,12월,http://www.skc.kr,KR7011790003,011790,SKC보통주,SKC,SKC,1997-07-18,주권,보통주,5000,37868298,011790.KS,011790
A018670,SK가스,SK가스,018670,기타 전문 도매업,"액화석유가스,가스기기 판매,수입,저장",1997-08-27,12월,http://www.skgas.co.kr/,KR7018670000,018670,SK가스보통주,SK가스,SKGas,1997-08-27,주권,보통주,5000,9230244,018670.KS,018670
A001740,SK네트웍스,SK네트웍스,001740,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",1977-06-30,12월,http://www.sknetworks.co.kr,KR7001740000,001740,SK네트웍스보통주,SK네트웍스,"SKNetworksCo.,Ltd",1977-06-30,주권,보통주,2500,248187647,001740.KS,001740
A001740,SK네트웍스,SK네트웍스,001745,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",1977-06-30,12월,http://www.sknetworks.co.kr,KR7001741008,001745,SK네트웍스1우선주,SK네트웍스우,"SKNetworksCo.,Ltd(1P)",1989-12-21,주권,구형우선주,2500,113648,001745.KS,001740
A210980,SK디앤디,SK디앤디,210980,부동산 임대 및 공급업,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,12월,http://www.skdnd.com,KR7210980009,210980,SK디앤디보통주,SK디앤디,"SK D&D Co., Ltd",2015-06-23,주권,보통주,1000,22190164,210980.KS,210980
A402340,SK스퀘어,SK스퀘어,402340,기타 금융업,지주회사,2021-11-29,12월,http://www.sksquare.com,KR7402340004,402340,SK스퀘어보통주,SK스퀘어,SKSQUARE,2021-11-29,주권,보통주,100,141467571,402340.KS,402340
A361610,SK아이이테크놀로지,SK아이이테크놀로지,361610,일차전지 및 축전지 제조업,2차전지용 습식 분리막 및 폴더블 커버 윈도우,2021-05-11,12월,http://www.skietechnology.com/,KR7361610009,361610,SK아이이테크놀로지보통주,SK아이이테크놀로지,SK ie technology,2021-05-11,주권,보통주,1000,71297592,361610.KS,361610
A096770,SK이노베이션,SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,http://www.SKinnovation.com,KR7096770003,096770,SK이노베이션 보통주,SK이노베이션,SK Innovation,2007-07-25,주권,보통주,5000,92465564,096770.KS,096770
